Title,Description,Price,Rating,Review
"Apple iPhone 14 (Starlight, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹54,999",4.6,"11,676 Reviews"
"Apple iPhone 15 (Black, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,400",4.6,"9,192 Reviews"
"Apple iPhone 14 (Blue, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹54,999",4.6,"11,676 Reviews"
"Apple iPhone 16 (Pink, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,999",4.6,478 Reviews
"Apple iPhone 14 (Midnight, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹54,999",4.6,"11,676 Reviews"
"Apple iPhone 16e (Black, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP Rear Camera | 12MP Front Camera, A18 Chip, 6 Core Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹59,900",4.6,30 Reviews
"Apple iPhone 16 Plus (Black, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹89,999",4.6,102 Reviews
"Apple iPhone 16 (Teal, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹79,999",4.6,478 Reviews
"Apple iPhone 16 (White, 128 GB)","128 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A18 Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹69,999",4.6,478 Reviews
"Apple iPhone 14 (Starlight, 256 GB)","256 GB ROM, 15.49 cm (6.1 inch) Super Retina XDR Display, 12MP + 12MP | 12MP Front Camera, A15 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹64,999",4.6,"11,676 Reviews"
"Apple iPhone 15 Plus (Pink, 256 GB)","256 GB ROM, 17.02 cm (6.7 inch) Super Retina XDR Display, 48MP + 12MP | 12MP Front Camera, A16 Bionic Chip, 6 Core Processor Processor, 1 year warranty for phone and 1 year warranty for in Box Accessories.","₹84,900",4.6,"2,473 Reviews"
